"","X[[i]]"
"1",3
"2",3
"3",2
"4",3
"5",1
"6",1
"7",3
"8",3
"9",2
"10",2
"11",2
"12",2
"13",2
"14",2
"15",2
"16",2
"17",2
"18",2
"19",2
"20",2
"21",2
"22",2
"23",2
"24",2
"25",2
"26",2
"27",2
"28",2
"29",2
"30",2
"31",2
"32",2
"33",2
"34",2
"35",2
"36",2
"37",2
"38",2
"39",2
"40",2
"41",2
"42",2
"43",2
"44",2
"45",2
"46",2
"47",2
"48",2
"49",2
"50",2
"51",2
"52",2
"53",2
"54",2
"55",2
"56",2
"57",2
"58",2
"59",2
"60",2
"61",2
"62",2
"63",2
"64",2
"65",2
"66",2
"67",2
"68",2
"69",2
"70",2
"71",2
"72",2
"73",2
"74",2
"75",2
"76",2
"77",2
"78",2
"79",3
"80",1
"81",1
"82",1
"83",3
"84",1
"85",1
"86",3
"87",3
"88",1
"89",1
"90",3
"91",1
"92",1
"93",3
"94",1
"95",1
"96",3
"97",1
"98",1
"99",3
"100",3
"101",3
"102",1
"103",1
"104",1
"105",3
"106",3
"107",1
"108",1
"109",3
"110",1
"111",1
"112",1
"113",1
"114",1
"115",1
"116",1
"117",3
"118",1
"119",3
"120",1
"121",3
"122",3
"123",3
"124",3
"125",1
"126",3
"127",1
"128",3
"129",1
"130",3
"131",1
"132",3
"133",1
"134",1
"135",3
"136",1
"137",3
"138",3
"139",3
"140",3
"141",3
"142",3
"143",3
"144",1
"145",1
"146",1
"147",3
"148",1
"149",3
"150",3
"151",1
"152",1
"153",3
"154",1
"155",1
"156",3
"157",1
"158",2
"159",3
"160",1
"161",3
"162",1
"163",3
"164",3
"165",1
"166",3
"167",3
"168",1
"169",1
"170",1
"171",3
"172",3
"173",1
"174",1
"175",3
"176",3
"177",3
"178",3
"179",3
"180",2
"181",3
"182",3
"183",2
"184",3
"185",3
"186",3
"187",3
"188",3
"189",3
"190",2
"191",3
"192",3
"193",3
"194",2
"195",2
"196",2
"197",2
"198",2
"199",2
"200",2
"201",2
"202",2
"203",2
"204",2
"205",2
"206",2
"207",2
"208",2
"209",3
"210",2
"211",3
"212",3
"213",2
"214",3
"215",2
"216",3
"217",3
"218",3
"219",3
"220",3
"221",3
"222",3
"223",3
"224",3
"225",3
"226",3
"227",3
"228",3
"229",3
"230",2
"231",3
"232",3
"233",3
"234",3
"235",3
"236",3
"237",3
"238",3
"239",2
"240",2
"241",3
"242",2
"243",2
"244",1
"245",2
"246",3
"247",3
"248",3
"249",3
"250",3
"251",2
"252",2
"253",2
"254",2
"255",2
"256",2
"257",2
"258",3
"259",2
"260",2
"261",3
"262",3
"263",2
"264",2
"265",3
"266",2
"267",3
"268",2
"269",2
"270",3
"271",2
"272",3
"273",2
"274",3
"275",2
"276",2
"277",3
"278",2
"279",2
"280",3
"281",3
"282",2
"283",3
"284",2
"285",2
"286",3
"287",3
"288",2
"289",3
"290",3
"291",2
"292",2
"293",2
"294",2
"295",3
"296",2
"297",3
"298",2
"299",2
"300",3
"301",2
"302",3
"303",3
"304",2
"305",3
"306",3
"307",3
"308",3
"309",2
"310",3
"311",2
"312",2
"313",3
"314",2
"315",2
"316",3
"317",1
"318",1
"319",2
"320",3
"321",2
"322",2
"323",3
"324",3
"325",3
"326",2
"327",2
"328",2
"329",2
"330",2
"331",2
"332",3
"333",3
"334",2
"335",2
"336",3
"337",3
"338",1
"339",3
"340",2
"341",3
"342",1
"343",3
"344",2
"345",3
"346",2
"347",3
"348",1
"349",1
"350",1
"351",1
"352",1
"353",1
"354",1
"355",1
"356",3
"357",3
"358",3
"359",1
"360",1
"361",3
"362",3
"363",3
"364",1
"365",1
"366",3
"367",3
"368",3
"369",3
"370",3
"371",3
"372",1
"373",3
"374",3
"375",3
"376",3
"377",3
"378",3
"379",3
"380",1
"381",3
"382",1
"383",3
"384",1
"385",3
"386",3
"387",3
"388",1
"389",3
"390",1
"391",3
"392",3
"393",3
"394",3
"395",3
"396",3
"397",1
"398",1
"399",3
"400",3
"401",3
"402",3
"403",3
"404",3
"405",3
"406",3
"407",3
"408",3
"409",3
"410",1
"411",1
"412",3
"413",3
"414",1
"415",1
"416",3
"417",3
"418",3
"419",3
"420",3
"421",3
"422",1
"423",3
"424",3
"425",1
"426",3
"427",3
"428",2
"429",3
"430",3
"431",2
"432",3
"433",3
"434",3
"435",3
"436",3
"437",2
"438",3
"439",3
"440",3
"441",2
"442",2
"443",3
"444",3
"445",3
"446",3
"447",2
"448",3
"449",3
"450",3
"451",2
"452",2
"453",3
"454",3
"455",2
"456",2
"457",3
"458",3
"459",3
"460",3
"461",3
"462",3
"463",2
"464",2
"465",3
"466",3
"467",2
"468",2
"469",2
"470",2
"471",2
"472",3
"473",3
"474",3
"475",2
"476",3
"477",3
"478",2
"479",3
"480",3
"481",3
"482",3
"483",3
"484",3
"485",3
"486",1
"487",3
"488",1
"489",3
"490",1
"491",1
