"","X[[i]]"
"1",2
"2",2
"3",2
"4",2
"5",1
"6",1
"7",2
"8",2
"9",4
"10",4
"11",4
"12",4
"13",4
"14",4
"15",4
"16",4
"17",4
"18",4
"19",4
"20",4
"21",4
"22",4
"23",4
"24",4
"25",4
"26",4
"27",4
"28",4
"29",4
"30",4
"31",4
"32",4
"33",4
"34",4
"35",4
"36",4
"37",4
"38",4
"39",4
"40",4
"41",4
"42",4
"43",4
"44",4
"45",4
"46",4
"47",4
"48",4
"49",4
"50",4
"51",4
"52",4
"53",4
"54",4
"55",4
"56",4
"57",4
"58",4
"59",4
"60",4
"61",4
"62",4
"63",4
"64",4
"65",4
"66",4
"67",4
"68",4
"69",4
"70",4
"71",4
"72",4
"73",4
"74",4
"75",4
"76",4
"77",4
"78",4
"79",2
"80",8
"81",8
"82",9
"83",8
"84",8
"85",1
"86",2
"87",8
"88",8
"89",8
"90",2
"91",8
"92",8
"93",8
"94",8
"95",8
"96",8
"97",8
"98",8
"99",8
"100",2
"101",2
"102",8
"103",8
"104",8
"105",2
"106",8
"107",8
"108",8
"109",8
"110",8
"111",8
"112",8
"113",9
"114",8
"115",2
"116",8
"117",2
"118",8
"119",8
"120",8
"121",2
"122",1
"123",8
"124",8
"125",9
"126",8
"127",8
"128",8
"129",8
"130",8
"131",8
"132",8
"133",8
"134",8
"135",8
"136",1
"137",8
"138",2
"139",2
"140",8
"141",8
"142",8
"143",2
"144",2
"145",8
"146",8
"147",2
"148",9
"149",8
"150",8
"151",2
"152",8
"153",2
"154",2
"155",8
"156",8
"157",8
"158",2
"159",2
"160",8
"161",8
"162",8
"163",8
"164",8
"165",8
"166",8
"167",1
"168",8
"169",8
"170",9
"171",2
"172",8
"173",8
"174",8
"175",8
"176",2
"177",8
"178",8
"179",8
"180",6
"181",3
"182",3
"183",6
"184",3
"185",3
"186",3
"187",3
"188",3
"189",6
"190",6
"191",8
"192",3
"193",6
"194",6
"195",6
"196",6
"197",6
"198",6
"199",6
"200",6
"201",6
"202",6
"203",6
"204",6
"205",6
"206",6
"207",6
"208",6
"209",8
"210",6
"211",6
"212",3
"213",6
