"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"model","12","2","1","11","8","1","12","2","7","11","1","7","7","8","5","2","14","12","10","14","13","9","4","13","4","5","13","9","10","9","10","14","5","6","3","6","3","8","4","11","6","3"
"K","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12"
"threshold","0.01","0.01","0.01","0.01","0.1","0.2","0.1","0.1","0.01","0.2","0.1","0.2","0.1","0.2","0.01","0.2","0.01","0.2","0.01","0.1","0.01","0.01","0.2","0.1","0.1","0.1","0.2","0.1","0.1","0.2","0.2","0.2","0.2","0.1","0.1","0.01","0.01","0.01","0.01","0.1","0.2","0.2"
"LL","-198935631.900559","-200823785.28432","-186492578.857218","-223741808.282573","-225672104.620894","-224766495.433361","-225985524.270881","-226168380.756972","-225250128.574693","-226622857.266382","-226970247.417248","-226990465.425899","-228288293.598143","-233352287.464914","-217150239.411938","-236283244.751962","-221458332.645908","-237535090.731191","-216438596.843677","-240249779.939212","-240731846.775837","-241051943.368329","-241560507.477062","-241669509.388374","-241721547.719594","-242507528.927532","-243070309.714096","-243392528.61613","-244563559.378644","-244223377.402334","-251448862.369985","-254058936.374939","-254403623.431906","22515861.9281631","22239681.0118209","20429804.4973522","20574736.8960131","-Inf","-Inf","-Inf","-Inf","-Inf"
"BIC","-444065002.644266","-453329399.251451","-454744054.6847","-465665696.176868","-467442060.538253","-467714299.501882","-467880465.7352","-468056230.517851","-468681667.962164","-471427794.144488","-472121803.469656","-472162341.664575","-474757998.009064","-478068778.753184","-480493158.73536","-482415482.870806","-484002814.451188","-485109076.574424","-485691698.407291","-497923788.106743","-499645670.985781","-500285195.371818","-501302221.411667","-501520996.210855","-501624301.896732","-502249319.316105","-504322596.862299","-504966365.86742","-505793142.62498","-506628063.439828","-513504244.379658","-518156600.662183","-519413850.103369","-49554195739.5578","-49569944329.7869","-67937384514.3895","-67941105950.2027","-Inf","-Inf","-Inf","-Inf","-Inf"
"ICL","-444065002.698387","-453329401.144209","-454744055.226106","-465665698.26233","-467442060.778223","-467714300.77857","-467880466.859755","-468056230.886603","-468681670.871026","-471427794.900877","-472121805.125569","-472162342.529691","-474757998.689085","-478068779.592318","-480493158.777964","-482415484.319627","-484002815.042343","-485109081.069902","-485691698.498674","-497923789.21441","-499645671.757463","-500285195.384168","-501302221.466453","-501520997.758207","-501624304.272677","-502249319.742027","-504322602.47593","-504966367.191188","-505793144.1596","-506628067.285189","-513504248.308394","-518156601.034207","-519413851.730031","-49554195742.1433","-49569944332.3148","-67937384518.2354","-67941105953.5908","-Inf","-Inf","-Inf","-Inf","-Inf"
"rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"originalOrder","1","3","9","7","16","37","15","17","8","35","23","36","22","30","6","31","4","29","5","18","10","11","40","24","26","20","38","25","19","39","33","32","34","27","28","13","14","2","12","21","41","42"
"complexity","4973018","5563842","8801809","1957404","1733025","1957321","1712739","1692290","1957332","1957404","1957321","1957332","1957332","1223421","4972904","1060300","4423157","1080744","5685781","1875817","1957393","1957321","1957310","1957393","1957310","1855366","1957393","1957321","1794192","1957321","1141852","1080726","1141861","468974","468964","957842","957808",NA,NA,NA,NA,NA
"comment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals"
