"","m"
"V1",-0.000236485208816571
"V2",0.00978808225212839
"V3",0.00498930122827638
"V4",-0.00203106809921433
"V5",-0.00211419751815242
"V6",0.00287860748059878
"V7",0.00208818655751789
"V8",0.000496415531155776
"V9",-0.000213423560519873
"V10",0
"V11",0.0283027040680932
"V12",0.00163018535529638
"V13",7.69002276189015e-05
"V14",0.00110309095296941
"V15",-0.0630328462335048
"V16",0.000583822444757737
"V17",0
"V18",0
"V19",-1.03531901444636e-05
"V20",0.00169175486068018
"V21",0.0068229812967109
"V22",0.0039474349837782
"V23",-0.00148161695558809
"V24",0
"V25",4.96628762130227e-05
"V26",0.00110775235730687
"V27",-0.000269520713333373
"V28",-0.00807935328546716
"V29",0.00064229623033119
"V30",1.02078059834248e-07
"V31",-7.79336077483593e-05
"V32",-0.000360083692971271
"V33",0.000368817560625728
"V34",-0.000115492202547926
"V35",0.000785400267881361
"V36",-0.0231108362245253
"V37",4.72382268328668e-05
"V38",-0.00185701105622875
"V39",-0.00250584407705602
"V40",0.000269999554270245
"V41",-0.00894106747814995
"V42",5.77764064904471e-06
"V43",-4.60153602120386e-05
"V44",-0.000218105652612075
"V45",-1.07459648246876e-05
"V46",0.00118509995674135
"V47",0.00224407872105856
"V48",0.000427172855084295
"V49",-0.000326822454518716
"V50",0.00165289180791471
"V51",-0.0110581600119239
"V52",-0.0118597662921442
"V53",-0.0102679743923733
"V54",-0.000380705989033148
"V55",0.00644110053545948
"V56",-0.028332527738678
"V57",-0.00164713648208247
"V58",-0.000222556941580814
"V59",0.000139465166511878
"V60",0.00057250212717165
"V61",0.00306813941712555
"V62",-1.41306547305757e-05
"V63",-0.000209989048770583
"V64",0.000736728890899533
"V65",0.00214146013099528
"V66",-0.000379933541121993
"V67",0.000661116522535368
"V68",0.000436274231832825
"V69",0.00351942564090163
"V70",0.000220548944945419
"V71",0.00238238600550316
"V72",-0.000324933297929576
"V73",0.000406745151822529
"V74",-0.00175675532236726
"V75",-3.66296472789882e-06
"V76",0.000204953820028165
"V77",-3.74491732457369e-05
"V78",0.000517656979068466
"V79",-0.0006538875370116
"V80",-0.0110901481577724
"V81",0.0052577890003886
"V82",0.00681307854254128
"V83",0.00977387108659157
"V84",1.55746860011668e-05
"V85",0.0129938007590213
"V86",-0.00589710531513802
"V87",0.000582654519963613
"V88",0.000418411854898143
"V89",6.04551575059587e-05
"V90",0.00124779729408868
"V91",0.00181486335583561
"V92",-0.000391345923690899
"V93",-0.000391107470366938
"V94",-0.000157612297583303
