"","X[[i]]"
"1",7
"2",15
"3",4
"4",2
"5",13
"6",8
"7",8
"8",13
"9",9
"10",17
"11",4
"12",10
"13",6
"14",4
"15",15
"16",11
"17",11
"18",11
"19",12
"20",10
"21",14
"22",12
"23",20
"24",17
"25",9
"26",8
"27",15
"28",3
"29",8
"30",14
"31",10
"32",12
"33",8
"34",14
"35",14
"36",14
"37",20
"38",2
"39",2
"40",10
"41",8
"42",14
"43",12
"44",14
"45",7
"46",11
"47",7
"48",7
"49",10
"50",7
"51",18
"52",15
"53",8
"54",14
"55",20
"56",14
"57",12
"58",8
"59",2
"60",19
"61",2
"62",18
"63",13
"64",14
"65",10
"66",10
"67",14
"68",15
"69",14
"70",6
"71",5
"72",2
"73",8
"74",8
"75",1
"76",8
"77",8
"78",14
"79",10
"80",14
"81",5
"82",12
"83",19
"84",20
"85",14
"86",20
"87",20
"88",20
"89",14
"90",14
"91",5
"92",20
"93",1
"94",1
"95",1
"96",19
"97",1
"98",1
"99",6
"100",19
"101",5
"102",8
"103",11
"104",14
"105",9
"106",14
"107",11
"108",8
"109",14
"110",4
"111",10
"112",11
"113",8
"114",2
"115",1
"116",14
"117",8
"118",14
"119",7
"120",11
"121",18
"122",14
"123",1
"124",1
"125",3
"126",8
"127",11
"128",3
"129",10
"130",14
"131",16
"132",4
"133",11
"134",1
"135",14
"136",1
"137",15
"138",11
"139",15
"140",8
"141",14
"142",1
"143",8
"144",6
"145",11
"146",12
"147",1
"148",15
"149",6
"150",12
"151",15
"152",14
"153",15
"154",1
"155",8
"156",15
"157",11
"158",18
"159",14
"160",12
"161",15
"162",15
"163",10
"164",2
"165",14
"166",15
"167",8
"168",15
"169",7
"170",15
"171",13
"172",15
"173",14
"174",18
"175",2
"176",11
"177",12
"178",8
"179",15
"180",15
"181",8
"182",17
"183",11
"184",14
"185",15
"186",12
"187",8
"188",14
"189",8
"190",14
"191",10
"192",18
"193",18
"194",17
"195",4
"196",10
"197",8
"198",14
"199",8
"200",14
"201",8
"202",14
"203",17
"204",12
"205",12
"206",6
"207",8
"208",8
"209",14
"210",1
"211",6
"212",14
"213",7
"214",14
"215",13
"216",14
"217",14
"218",10
"219",1
"220",14
"221",12
"222",12
"223",8
"224",12
"225",5
"226",16
"227",16
"228",16
"229",9
"230",16
"231",8
"232",8
"233",8
"234",8
"235",16
"236",14
"237",14
"238",14
"239",9
"240",16
"241",1
"242",8
"243",18
"244",1
"245",11
"246",14
"247",13
"248",16
"249",8
"250",12
"251",9
"252",8
"253",9
"254",12
"255",14
"256",9
"257",16
"258",8
"259",14
"260",5
"261",12
"262",8
"263",11
"264",1
"265",1
"266",16
"267",6
"268",15
"269",8
"270",13
"271",11
"272",6
"273",10
"274",15
"275",16
"276",15
"277",14
"278",6
"279",8
"280",16
"281",14
"282",10
"283",1
"284",12
"285",15
"286",2
"287",10
"288",2
"289",11
"290",16
"291",6
"292",5
"293",15
"294",14
"295",8
