"","X[[i]]"
"1",3
"2",5
"3",3
"4",4
"5",4
"6",2
"7",2
"8",4
"9",4
"10",2
"11",3
"12",5
"13",3
"14",3
"15",5
"16",2
"17",2
"18",2
"19",5
"20",5
"21",5
"22",5
"23",2
"24",2
"25",4
"26",2
"27",5
"28",3
"29",2
"30",5
"31",5
"32",5
"33",2
"34",5
"35",5
"36",5
"37",2
"38",4
"39",4
"40",5
"41",2
"42",5
"43",5
"44",5
"45",3
"46",2
"47",3
"48",3
"49",3
"50",3
"51",5
"52",5
"53",2
"54",5
"55",2
"56",5
"57",5
"58",2
"59",4
"60",2
"61",1
"62",5
"63",4
"64",5
"65",5
"66",3
"67",5
"68",5
"69",5
"70",2
"71",5
"72",1
"73",2
"74",2
"75",5
"76",2
"77",2
"78",5
"79",5
"80",5
"81",5
"82",2
"83",2
"84",2
"85",5
"86",2
"87",2
"88",2
"89",2
"90",5
"91",5
"92",2
"93",5
"94",5
"95",5
"96",2
"97",5
"98",5
"99",3
"100",2
"101",5
"102",2
"103",2
"104",5
"105",4
"106",5
"107",2
"108",2
"109",5
"110",3
"111",5
"112",2
"113",2
"114",4
"115",5
"116",5
"117",2
"118",5
"119",3
"120",2
"121",5
"122",5
"123",5
"124",5
"125",3
"126",2
"127",2
"128",3
"129",5
"130",5
"131",4
"132",3
"133",2
"134",5
"135",5
"136",5
"137",5
"138",2
"139",5
"140",5
"141",5
"142",5
"143",2
"144",3
"145",2
"146",5
"147",5
"148",5
"149",3
"150",5
"151",5
"152",5
"153",5
"154",5
"155",5
"156",5
"157",5
"158",5
"159",5
"160",5
"161",5
"162",5
"163",5
"164",1
"165",5
"166",5
"167",2
"168",5
"169",3
"170",5
"171",4
"172",5
"173",2
"174",5
"175",1
"176",5
"177",5
"178",2
"179",5
"180",5
"181",2
"182",2
"183",2
"184",5
"185",5
"186",5
"187",2
"188",2
"189",2
"190",2
"191",3
"192",5
"193",5
"194",2
"195",3
"196",5
"197",2
"198",5
"199",2
"200",5
"201",2
"202",5
"203",2
"204",5
"205",5
"206",5
"207",2
"208",2
"209",5
"210",5
"211",3
"212",5
"213",3
"214",2
"215",4
"216",5
"217",5
"218",5
"219",5
"220",5
"221",5
"222",5
"223",2
"224",5
"225",5
"226",4
"227",4
"228",4
"229",4
"230",4
"231",2
"232",2
"233",2
"234",2
"235",4
"236",5
"237",5
"238",5
"239",4
"240",4
"241",5
"242",2
"243",5
"244",5
"245",2
"246",5
"247",4
"248",4
"249",2
"250",5
"251",4
"252",2
"253",4
"254",5
"255",5
"256",4
"257",4
"258",2
"259",5
"260",5
"261",5
"262",2
"263",2
"264",5
"265",5
"266",4
"267",2
"268",5
"269",2
"270",4
"271",2
"272",3
"273",5
"274",5
"275",4
"276",5
"277",5
"278",5
"279",2
"280",4
"281",5
"282",5
"283",5
"284",2
"285",5
"286",4
"287",5
"288",4
"289",2
"290",4
"291",3
"292",5
"293",5
"294",5
"295",2
"296",5
"297",5
"298",5
"299",5
"300",5
"301",5
"302",5
"303",2
"304",5
"305",5
"306",3
"307",4
"308",5
"309",3
"310",5
"311",2
"312",5
"313",4
"314",3
"315",5
"316",3
"317",2
"318",2
"319",2
"320",5
"321",5
"322",3
"323",5
"324",5
"325",2
"326",4
"327",5
"328",2
"329",3
"330",5
"331",5
"332",5
"333",2
"334",3
"335",5
"336",2
"337",2
"338",5
"339",2
"340",5
"341",3
"342",5
"343",5
"344",5
"345",2
"346",2
"347",2
"348",4
"349",3
"350",3
"351",4
"352",3
"353",2
"354",5
"355",4
"356",5
"357",2
"358",4
"359",4
"360",4
"361",4
"362",5
"363",3
"364",5
"365",5
"366",5
"367",5
"368",2
"369",5
"370",5
"371",2
"372",2
"373",2
"374",2
"375",5
"376",5
"377",2
"378",2
"379",2
"380",5
"381",2
"382",2
"383",2
"384",2
"385",2
"386",5
"387",5
"388",5
"389",3
"390",3
"391",2
"392",3
"393",2
"394",3
"395",2
"396",2
"397",2
"398",2
"399",2
"400",2
"401",2
"402",2
"403",3
"404",2
"405",3
"406",5
"407",2
"408",2
"409",3
"410",3
"411",3
"412",3
"413",4
"414",5
"415",5
"416",5
"417",3
"418",3
"419",5
"420",5
"421",3
"422",5
"423",5
"424",2
"425",5
"426",5
"427",2
"428",5
"429",2
"430",5
"431",4
"432",4
"433",2
"434",2
"435",2
"436",5
"437",5
"438",2
"439",2
"440",5
"441",5
"442",4
"443",5
"444",5
"445",5
"446",2
"447",2
"448",2
"449",5
"450",4
"451",5
"452",5
"453",2
"454",3
"455",3
"456",3
"457",2
"458",5
"459",5
"460",5
"461",3
"462",2
"463",5
"464",4
"465",3
"466",5
"467",5
"468",2
"469",4
"470",2
"471",5
"472",5
"473",5
"474",5
"475",2
"476",5
"477",2
"478",2
"479",5
"480",5
"481",5
"482",5
"483",2
"484",4
"485",5
"486",5
"487",2
"488",5
"489",5
"490",2
"491",5
"492",2
"493",5
"494",2
"495",5
"496",2
"497",5
"498",5
"499",2
"500",5
"501",5
"502",4
"503",2
"504",2
"505",5
"506",5
"507",5
"508",5
"509",5
"510",2
