"","groups"
"1",1
"2",2
"3",1
"4",3
"5",3
"6",4
"7",4
"8",3
"9",3
"10",5
"11",1
"12",6
"13",1
"14",1
"15",2
"16",7
"17",7
"18",8
"19",7
"20",6
"21",6
"22",7
"23",8
"24",5
"25",3
"26",8
"27",2
"28",1
"29",8
"30",6
"31",7
"32",7
"33",8
"34",6
"35",6
"36",4
"37",8
"38",3
"39",3
"40",7
"41",4
"42",6
"43",7
"44",6
"45",1
"46",7
"47",1
"48",1
"49",1
"50",1
"51",7
"52",2
"53",8
"54",4
"55",8
"56",6
"57",7
"58",4
"59",3
"60",5
"61",3
"62",7
"63",3
"64",6
"65",6
"66",1
"67",6
"68",2
"69",6
"70",4
"71",2
"72",3
"73",8
"74",8
"75",6
"76",8
"77",8
"78",6
"79",6
"80",6
"81",2
"82",7
"83",5
"84",8
"85",6
"86",8
"87",8
"88",8
"89",4
"90",6
"91",2
"92",8
"93",6
"94",6
"95",6
"96",5
"97",6
"98",6
"99",4
"100",5
"101",2
"102",8
"103",7
"104",6
"105",3
"106",6
"107",7
"108",8
"109",7
"110",1
"111",6
"112",7
"113",4
"114",3
"115",6
"116",6
"117",4
"118",6
"119",1
"120",7
"121",7
"122",6
"123",7
"124",6
"125",1
"126",8
"127",7
"128",1
"129",6
"130",6
"131",3
"132",1
"133",7
"134",6
"135",7
"136",7
"137",2
"138",7
"139",2
"140",4
"141",6
"142",6
"143",6
"144",4
"145",7
"146",7
"147",6
"148",2
"149",4
"150",7
"151",2
"152",7
"153",2
"154",6
"155",7
"156",2
"157",7
"158",7
"159",4
"160",7
"161",2
"162",2
"163",1
"164",3
"165",7
"166",2
"167",8
"168",2
"169",1
"170",2
"171",3
"172",2
"173",8
"174",7
"175",3
"176",7
"177",7
"178",4
"179",2
"180",2
"181",8
"182",5
"183",4
"184",6
"185",2
"186",7
"187",8
"188",6
"189",4
"190",6
"191",1
"192",7
"193",7
"194",5
"195",1
"196",6
"197",8
"198",4
"199",8
"200",4
"201",8
"202",6
"203",5
"204",7
"205",7
"206",4
"207",8
"208",8
"209",6
"210",6
"211",4
"212",6
"213",1
"214",4
"215",3
"216",6
"217",4
"218",6
"219",6
"220",6
"221",7
"222",4
"223",8
"224",7
"225",2
"226",3
"227",3
"228",3
"229",3
"230",3
"231",8
"232",8
"233",1
"234",4
"235",3
"236",7
"237",6
"238",7
"239",3
"240",3
"241",6
"242",8
"243",7
"244",6
"245",7
"246",6
"247",3
"248",3
"249",8
"250",7
"251",3
"252",8
"253",3
"254",7
"255",6
"256",3
"257",3
"258",1
"259",6
"260",2
"261",7
"262",4
"263",7
"264",6
"265",6
"266",3
"267",4
"268",2
"269",8
"270",3
"271",7
"272",1
"273",6
"274",2
"275",3
"276",2
"277",4
"278",4
"279",8
"280",3
"281",6
"282",6
"283",6
"284",7
"285",2
"286",3
"287",6
"288",3
"289",7
"290",3
"291",1
"292",2
"293",2
"294",6
"295",7
"296",6
"297",6
"298",7
"299",6
"300",4
"301",6
"302",6
"303",8
"304",6
"305",7
"306",1
"307",3
"308",6
"309",1
"310",2
"311",4
"312",6
"313",3
"314",1
"315",6
"316",4
"317",4
"318",4
"319",4
"320",2
"321",2
"322",1
"323",2
"324",4
"325",8
"326",3
"327",6
"328",4
"329",4
"330",6
"331",6
"332",2
"333",8
"334",1
"335",6
"336",4
"337",8
"338",7
"339",8
"340",6
"341",8
"342",7
"343",7
"344",7
"345",8
"346",8
"347",4
"348",3
"349",1
"350",1
"351",3
"352",4
"353",8
"354",6
"355",3
"356",6
"357",8
"358",3
"359",3
"360",3
"361",3
"362",7
"363",1
"364",6
"365",6
"366",4
"367",2
"368",8
"369",7
"370",7
"371",7
"372",8
"373",7
"374",8
"375",6
"376",6
"377",8
"378",5
"379",7
"380",7
"381",7
"382",5
"383",7
"384",5
"385",8
"386",2
"387",7
"388",7
"389",1
"390",1
"391",7
"392",1
"393",8
"394",1
"395",4
"396",8
"397",8
"398",4
"399",8
"400",5
"401",5
"402",5
"403",1
"404",8
"405",1
"406",7
"407",7
"408",5
"409",1
"410",1
"411",1
"412",1
"413",3
"414",7
"415",2
"416",6
"417",1
"418",1
"419",6
"420",6
"421",1
"422",6
"423",6
"424",8
"425",2
"426",7
"427",8
"428",7
"429",7
"430",7
"431",7
"432",3
"433",7
"434",7
"435",7
"436",1
"437",6
"438",8
"439",4
"440",7
"441",2
"442",3
"443",7
"444",7
"445",7
"446",7
"447",8
"448",7
"449",7
"450",3
"451",7
