"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"model","2","12","8","7","12","11","2","8","1","11","7","1","2","5","10","4","5","4","13","13","4","9","13","9","11","5","10","7","14","6","3","6","3","6","3","14","9","14","10","1","12","8"
"K","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14"
"threshold","0.01","0.01","0.01","0.01","0.1","0.2","0.1","0.1","0.01","0.1","0.1","0.2","0.2","0.01","0.01","0.1","0.1","0.01","0.2","0.01","0.2","0.2","0.1","0.1","0.01","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.01","0.01","0.01","0.01","0.1","0.1","0.1","0.2","0.2"
"LL","-196866830.391831","-199605263.132837","-197750201.507259","-181119610.863551","-218614112.450104","-221083572.466931","-219813270.049703","-223772790.993038","-222539563.115505","-223074333.568055","-224216117.815979","-225990860.13469","-233362814.887206","-212634557.326303","-213535831.648273","-229152811.260264","-237079166.84964","-199956183.514402","-237897187.864365","-238526124.973338","-238827275.853388","-238922508.903808","-240107752.691872","-241089867.250856","-255139351.57376","-251498809.621138","-253025483.733748","-256682570.528152","-254672989.272659","27312148.0935252","27568171.2647276","25707976.6148995","22817488.7591116","20707686.8116541","22471286.074928","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"BIC","-442770083.102298","-446166064.263782","-451343405.850433","-457624720.732963","-457872209.165305","-463379571.147539","-463488199.69345","-465348610.506295","-466290651.423884","-467361093.349787","-469643881.580199","-473193245.462254","-478468866.111526","-479980974.115648","-482729854.690391","-490119533.804052","-493854239.725215","-495297624.523934","-497006681.187041","-498264555.404989","-498865956.144285","-499056543.000492","-501427810.842057","-503391259.694586","-515582687.499557","-515687605.509534","-517036603.22081","-518669125.40834","-519953204.13945","-47427077586.7021","-47440592729.9095","-49564141202.9896","-49578709358.5376","-67914118996.0457","-67962781799.2019","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"ICL","-442770083.731659","-446166066.078035","-451343406.600235","-457624721.026958","-457872211.92771","-463379572.550827","-463488202.018107","-465348613.479299","-466290653.794567","-467361094.983582","-469643885.029113","-473193247.187184","-478468867.146166","-479980974.295768","-482729855.095389","-490119534.062147","-493854240.926664","-495297625.620327","-497006681.200798","-498264557.002443","-498865956.731544","-499056546.326119","-501427811.428036","-503391261.544213","-515582694.173471","-515687608.61438","-517036604.120636","-518669129.28899","-519953204.693884","-47427077588.5845","-47440592734.5113","-49564141206.702","-49578709364.4034","-67914118997.9825","-67962781800.952","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"originalOrder","3","1","2","8","15","35","17","16","9","21","22","37","31","6","5","26","20","12","38","10","40","39","24","25","7","34","33","36","32","41","42","27","28","13","14","4","11","18","19","23","29","30"
"complexity","5279049","5055030","6011816","10268790","2222442","2283638","2568843","1916597","2283541","2283638","2283554","2283541","1264226","5890042","5991920","3424948","2120376","10268764","2283625","2283625","2283528","2283541","2283625","2283541","571004","1366149","1182666","571004","1141928","428226","428220","509760","509750","998628","998594",NA,NA,NA,NA,NA,NA,NA
"comment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals"
