"","m"
"V1",0.000590686869379588
"V2",-0.00836819390607787
"V3",0.00454808843342127
"V4",0.0016498948199797
"V5",-0.0129252132984831
"V6",0.00308498086657064
"V7",-0.00932059338700062
"V8",0.000719856397821469
"V9",-0.00427190232837227
"V10",0.00578448156578557
"V11",0.00770063449591052
"V12",0.00340977017377309
"V13",0.0014005149313474
"V14",-0.00894081088135496
"V15",-0.0101772145658892
"V16",0.00154793824557527
"V17",0.00793521923718988
"V18",0.000319235962181882
"V19",-0.00574317588551001
"V20",0.000592546248849977
"V21",-6.89910744866637e-05
"V22",-0.00416682822499542
"V23",-0.00573747030296754
"V24",-0.00992074694602604
"V25",0.00222645812444135
"V26",-0.0107786380064072
"V27",-0.00769246615854752
"V28",-0.00250392420964056
"V29",0.00531645412488717
"V30",-0.0010592030140076
"V31",-0.00731620071623638
"V32",-0.00123552980264282
"V33",-0.00557573405162821
"V34",0.00059980729851101
"V35",0.00154544008313747
"V36",0.0117348020834381
"V37",0.00146702404492706
"V38",-0.0158294145649915
"V39",0.00139710695028688
"V40",-0.00613747042954225
"V41",0.00440604538129514
"V42",-0.0287790325963117
"V43",-0.00211949787748361
"V44",0.00192871170875882
"V45",0.019355956421942
"V46",0.00686517912695866
"V47",0.0205810149105819
"V48",0.00745484472968722
"V49",0.0151435822746831
"V50",0.00272645396292161
"V51",-0.0101775046930144
"V52",0.00427814440550392
"V53",-0.00540107165754822
"V54",0.00110341279882843
"V55",0.00253628862412794
"V56",0.00244412648400372
"V57",0.00477580714095017
"V58",-0.0107164931381084
"V59",0.0239251091258559
"V60",-0.0126448517368285
"V61",0.0140039294119442
"V62",-0.00311504939793741
"V63",-0.000231887401598798
"V64",0.00190762805424696
"V65",-0.00398281803491876
"V66",0.0025091637894715
"V67",0.000247814453422091
"V68",-0.0224428147533263
"V69",-0.0129109609300433
"V70",-0.00541565128326659
"V71",0.00340414627661012
"V72",0.0036358481360349
"V73",0.0123405160152361
"V74",0.000635109833626508
"V75",0.0064695363408407
"V76",0.000160635342045871
"V77",0.000492606263773156
"V78",0.0125348302787843
"V79",-0.00183883247974647
"V80",0.00562515941384666
"V81",0.00580535964057827
"V82",0.00265655880468478
"V83",0.0254913170672649
"V84",0.000696033320752975
"V85",-0.000849478775871074
"V86",0.0157989084620908
"V87",0.0027538303254798
"V88",-0.000144103838852404
"V89",0.0102071123969392
"V90",0.0109672440057405
"V91",0.00256764053086284
"V92",-0.00112264464109074
"V93",0.000103371025676658
"V94",-0.00167051650073749
"V95",-0.0186727347176233
"V96",-0.00336332279300994
"V97",0.00566131344612841
"V98",-0.00327088203580715
"V99",0.000676432767190281
"V100",0.00743586687467718
"V101",-0.000279785684037122
"V102",0.00715202004376999
"V103",-0.00264378699829626
"V104",0.00247516415000421
"V105",0.00039374168097337
"V106",-0.000579831780076179
"V107",-0.00495548444460326
"V108",-0.011910541495437
"V109",-0.00438550237967821
"V110",0.00879370930298562
"V111",0.00478217594759016
"V112",-0.00595712391889079
"V113",-0.00164184745429646
"V114",0.00450023265422106
"V115",0.00715640569927448
"V116",0.00653404756543578
"V117",-0.00200848389753131
"V118",-0.0112434066381754
"V119",0.000115100428027191
"V120",0.0034725220736341
"V121",-0.000360475109319762
"V122",0.023330441052286
"V123",-0.00127495755316693
"V124",0.00195123987468724
"V125",-0.00109306987857368
"V126",0.00209968671644923
"V127",0.00221834679223667
"V128",0.01090607489748
"V129",-0.00063140232034478
"V130",0.00162142402388435
"V131",-0.00124575947575341
"V132",-0.00734181374091808
"V133",-0.0175213856501259
"V134",0.00253175807790552
"V135",0.000821021349450039
"V136",0.000246594360081518
"V137",0.00144930537671937
"V138",0.0132613239467438
"V139",-0.0118090070864737
"V140",0.00300950715197476
"V141",-0.000180936826606623
"V142",-0.00950998905411892
"V143",0.00179272590875882
"V144",-0.0105551160117701
"V145",0.000866321904942383
"V146",-0.000157832453614322
"V147",0.0137944548572459
"V148",-0.0126273609930982
"V149",-0.00394936571136515
"V150",0.0139415825369927
"V151",7.89613982090776e-07
"V152",0.00131385997014693
"V153",-0.00506012000943097
"V154",0.00926167026831518
"V155",-0.0053558616911991
"V156",6.81264013488432e-05
"V157",-0.00470749257288201
"V158",5.55463621254493e-05
"V159",-0.00350441390090613
"V160",0.00145260320716786
"V161",-0.00240625225426776
"V162",-0.000945079358830807
"V163",-0.00569476168155928
"V164",-2.03341991042467e-05
"V165",0.000353813173585776
"V166",0.000528858509920543
"V167",-0.000808132510033464
"V168",-7.24473191787499e-05
"V169",-0.000962290458039173
"V170",-0.000321219325152809
"V171",0.00174133249569361
"V172",0.00781645659094344
"V173",0.000611830346324263
"V174",-0.000602413166352352
"V175",0.00211267393000943
"V176",-0.00166583409522508
"V177",0.000104508877373461
"V178",-0.00784389963963372
"V179",0.00145582240476622
"V180",-0.00281652499309745
"V181",0.00700724376801263
"V182",-0.00256105132866603
"V183",-0.000963439741670704
"V184",-0.000493078463770688
"V185",0.00315662265581222
"V186",0.0160740811863348
"V187",-0.000222692996724797
"V188",0.00308809588438142
"V189",0.0043848881228013
"V190",-0.00269084310007819
"V191",0.00245236874445478
"V192",0.00805466746140249
"V193",-0.00335333677218744
"V194",0.00422406905979679
"V195",0.00246043224820859
"V196",-0.000212491614792601
"V197",0.0191833090059288
"V198",0.00384590551652975
"V199",-0.022313261945188
"V200",0.00635095787822592
"V201",0.00392637240979771
"V202",0.0126498853829363
"V203",0.00947761411355088
"V204",0.00220796417461041
"V205",0.00604634856608839
"V206",0.0018503546269396
"V207",0.00839677178394281
"V208",0.0151822395021076
"V209",0.0154215648215608
"V210",-0.00193198569882393
"V211",0.000846838420384355
"V212",-0.00457675202392965
"V213",0.0192686029181292
"V214",-0.00171817354816464
"V215",0.00596260407931149
"V216",-0.00337782101767356
"V217",-0.00364690219588794
"V218",0.00419042707988926
"V219",0.00680816476059797
"V220",0.00661057367867849
"V221",-0.000484042703879576
"V222",-0.00127467627678222
"V223",-0.012327154604983
"V224",-0.00347124263992584
"V225",0.0055574157880332
"V226",0.00138972621624662
"V227",0.00335704135196131
"V228",-0.00831785490185067
"V229",-0.000592905589783644
"V230",0.0137358640727335
"V231",-0.000879367622522098
"V232",-0.000771761735483914
"V233",-3.04822906103913e-05
"V234",-7.18575554785908e-05
"V235",-0.000589361255296734
"V236",-0.00990058789769361
"V237",-0.00267200468677969
"V238",0.000424969840645376
"V239",-0.0215567688993583
"V240",-0.0142447685862207
"V241",0.00055086593250026
"V242",-8.20431054616192e-05
"V243",-0.00460634209325512
"V244",-0.000863224676681262
"V245",0.0158323257448874
"V246",0.00087167208831819
"V247",-0.014501524367993
"V248",0.0102697081759229
"V249",0.000136411103646002
"V250",0.000472900064850461
"V251",0.000459212913029459
"V252",0.00221578110347975
"V253",0.000287822452197162
"V254",0.000363711068102973
"V255",0.00817566935666567
"V256",0.00430448300847216
"V257",0.011508769097439
"V258",0.00722448613853768
"V259",0.000927349019322367
"V260",0.000876981518829391
"V261",-0.00109702799381972
"V262",0.00772564335830991
"V263",0.00900798156752614
"V264",-0.0030572069996019
"V265",0.00611503914219276
"V266",0.00086696485954558
"V267",0.00155922492279343
"V268",0.00769121382788473
"V269",0.00661480982338427
"V270",0.00485348346449889
"V271",0.00563022597103888
"V272",0.00617563138591165
"V273",0.0152604148099425
"V274",-0.00304816812678674
"V275",-0.00323344982588613
"V276",0.00356353918223482
"V277",-0.000110507563005354
"V278",0.0032537154241327
"V279",-0.00184643131255396
"V280",-0.000194208415894105
"V281",0.00996469236761215
"V282",0.00102959438683905
"V283",-0.000128862209355204
"V284",0.00569613788028391
"V285",0.00397025558230535
"V286",0.00298207665336655
"V287",-0.000843192217189582
"V288",-0.00381519052026317
"V289",-0.00841342269880977
"V290",0.00221567869317554
"V291",0.0106634367327569
"V292",0.0111939300550425
"V293",0.00306393211488613
"V294",-0.00743638435757805
"V295",-0.000597735639854207
"V296",-0.00275496709810421
"V297",-0.0217446675508626
"V298",0.00213701806190149
"V299",0.00246147537197673
"V300",-0.00925003404325024
"V301",-0.000504914866450705
"V302",7.98033944484199e-05
"V303",0.000288308793066065
"V304",-0.000820563079546675
"V305",-0.00207408859862032
"V306",0.0028391901280883
"V307",-0.00441868080824381
"V308",0.00617111419253658
"V309",-0.0150186110148538
"V310",0.00756336838752739
"V311",0.0135496527118072
"V312",-0.00215103062421431
"V313",-5.2769219350731e-05
"V314",0.00575421812538825
"V315",0.0020393520954188
"V316",0.0051693806636841
"V317",0.00452736949068611
"V318",-0.0130905327458903
"V319",-0.00533758316734419
"V320",0.00138439719367775
"V321",-0.00138702070539216
"V322",-0.015613986362336
"V323",-0.0216267112772918
"V324",0.000401841875128695
"V325",0.000240178245847362
"V326",-0.00265717561248182
"V327",-0.00312628426982818
"V328",0.00106637765163288
"V329",-0.000807712565356465
"V330",-0.00917820980113299
"V331",-0.000471888657477954
"V332",8.42250560831087e-05
"V333",-0.00365360147444845
"V334",-0.000995246037382222
"V335",0.0104016570022103
"V336",-0.00198716472671514
"V337",-0.00120073912506309
"V338",0.0090200404175041
"V339",-0.00188557875471768
"V340",-0.0033393940341023
"V341",-0.00642789192058537
"V342",0.00325115986229974
"V343",-0.0127380290011506
"V344",-0.00545589008528635
"V345",-0.00407759036797213
"V346",-0.0109167195785152
"V347",-0.0114525221837926
"V348",-0.0120182853671694
"V349",-0.00476076579745112
"V350",-0.00206669249522526
"V351",-0.0123640252536895
"V352",-0.00382557796089984
"V353",5.5089261000561e-05
"V354",-0.0121223996115462
"V355",-0.00324753313322473
"V356",-0.0135134982323713
"V357",-0.00617776188629255
"V358",-0.012525732024185
"V359",0.00960746558768183
"V360",-0.00407012259101826
"V361",-0.00433382862763084
"V362",-0.00218470758386761
"V363",-0.0112324381661107
"V364",-0.00293731322047532
"V365",-0.00542961989767439
"V366",0.00786499007424792
"V367",-0.000610512062060036
"V368",0.00341928957549742
"V369",-0.0167123705797542
"V370",0.00121094857368454
"V371",-0.000351204419638926
"V372",-0.000277644324457145
"V373",-0.00335435383781624
"V374",0.0113172740738996
"V375",-0.00846887966184487
"V376",0.000181415841497549
"V377",0.00374350762453673
"V378",-0.00725719810566119
"V379",0.00218721247728987
"V380",0.00870667412593506
"V381",-0.00202218959555513
"V382",-0.00786039863573984
"V383",-0.000803012324210834
"V384",0.000154078677339724
"V385",0.000318696269667158
"V386",-0.0073721955933674
"V387",-0.00394919588852853
"V388",-0.00356136910413469
"V389",-0.00171193966495617
"V390",0.00993965148040506
"V391",0.00740509837061881
"V392",-0.000539965053804854
"V393",0.0163601246799079
"V394",0.00505866769686025
"V395",-0.0100835713031256
"V396",-0.00406033528314996
"V397",0.00176358986468429
"V398",0.00296059467126939
"V399",-0.00242887309805379
"V400",-0.0213761197878724
"V401",0.0085070498740649
"V402",0.00639360322861707
"V403",0.00834542392222748
"V404",0.00321187848528865
"V405",0.000789569699993769
"V406",-0.0140891761412425
"V407",4.57621382906598e-06
"V408",-0.00195984947688757
"V409",0.00345869398871287
"V410",0.00207986876089255
"V411",-0.0120809937456284
"V412",-0.0138640760186342
"V413",0.0197328432593737
"V414",0.0132766469049442
"V415",0.0176389151428706
"V416",0.00882663736282623
"V417",-0.0111821342976056
"V418",0.0257404821997427
"V419",-0.0175653021489967
"V420",0.000673857961083117
"V421",0.00243540883273848
"V422",0.00314528214048524
"V423",-0.00263454178169582
"V424",0.00662606623182792
"V425",-0.000732608986621317
"V426",-0.0190989817791864
"V427",-0.00511563980779464
"V428",-0.000199889696785215
"V429",-0.00393573917448226
"V430",-0.00162102225366845
"V431",0.0082597669771022
"V432",0.0103531688646826
"V433",0.00372939783817082
"V434",0.000963001707477245
"V435",0.00551325895962529
"V436",0.000165871081263281
"V437",0.0127279831951777
"V438",-0.00362415944667669
"V439",-0.0146385564143614
"V440",0.00776113056062867
"V441",-0.00528223171412874
"V442",0.00919396389207301
"V443",-0.00576464331524684
"V444",-0.00114493181191117
"V445",-0.000476930624712231
"V446",-0.000265792049813171
"V447",0.00303647351814519
"V448",0.00975866726504755
"V449",0.0115486290825571
"V450",0.00693440285921758
"V451",0.00158137096118853
"V452",0.00735247741536208
"V453",-0.00988536198383106
"V454",0.000112968016721381
"V455",-0.0198481530709018
"V456",-0.000396920826217819
"V457",-0.00415891352481844
"V458",0.000235283338945549
"V459",0.00546596601333999
"V460",0.00170444214054081
"V461",0.00156380355685177
"V462",-0.00573575448503201
"V463",0.0199997615284553
"V464",-0.00480595310506426
"V465",-0.00049726159039827
"V466",0.00258245949535988
"V467",-0.00419944794122111
"V468",0.00043182655201417
"V469",-0.000864753720609366
"V470",0.00233242625879803
"V471",-0.00239090076428583
"V472",-0.0017278022252314
"V473",0.000609638448266296
"V474",-0.0167605487936726
"V475",-0.0170850058611398
"V476",-0.0109635505342954
"V477",0.00143333909991661
"V478",-0.0149073345760781
"V479",0.0242933092332437
"V480",-0.000452080535904745
"V481",0.00168974133396802
"V482",0.00340423958888548
"V483",0.00273544392724571
"V484",0.0160119086142822
"V485",0.0163349714637313
"V486",0.0037414610199088
"V487",0.00213031359267824
"V488",-0.0115424256463953
"V489",0.000123961405824784
"V490",0.000775503944596031
"V491",0.00579660327053956
"V492",0.00271947093171286
"V493",0.010129164888614
"V494",0.00277334998864461
"V495",-0.00363593674757757
"V496",-0.000605962734597989
"V497",4.70812464246059e-05
"V498",-0.00157947502799942
"V499",-0.00452677598902339
"V500",0.00309653909324273
"V501",0.00175697919727324
"V502",-0.00616399420228668
"V503",-0.00419931387400302
"V504",-0.0129912858115834
"V505",-0.00024309980022782
"V506",0.000542538295739342
"V507",0.00407591073835375
"V508",0.000865533448858508
"V509",0.000208108093789038
"V510",-0.00530526348268618
"V511",0.00126745626370696
"V512",-0.00079621072167706
"V513",0.00432056860958541
"V514",-0.00320627250600193
"V515",-0.000330715888041398
"V516",-0.00122588096777135
"V517",8.37513426652176e-05
"V518",0.00196526145842436
"V519",-0.000510832866026991
"V520",-0.00197449471054634
"V521",-7.22575819739827e-05
"V522",-0.0155469073856202
"V523",-0.000665650280369987
"V524",-0.00501112133705122
"V525",0.0124017932343855
"V526",0.0128359764404289
"V527",0.00062599829959265
"V528",0.0121941414189022
"V529",-0.00596707961225653
"V530",-0.000548030068910004
"V531",0.00021987054652393
"V532",-0.0025225529208541
"V533",-0.0032736692938439
"V534",0.0106365847044357
"V535",0.00516755832262098
"V536",0.00449387870120985
"V537",0.00793987611170474
"V538",0.0140156954748701
"V539",0.00503840048658536
"V540",0.000866936843500818
"V541",-0.0116198790522263
"V542",-1.86225191936552e-05
"V543",0.00101270174980742
"V544",0.00185098771378005
"V545",0.00155172943124405
"V546",0.000168901663377402
"V547",0.000966412247943882
"V548",0.00391840117857708
"V549",0.00653220826050099
"V550",0.00993638710403513
"V551",0.00375572839934075
"V552",0.000844653488247496
"V553",0.00217544430962163
"V554",-0.00293726188272053
"V555",-0.00804418969805873
"V556",-0.000161874837733755
"V557",-0.000449176807535199
"V558",0.00652084912036721
"V559",0.0123145014102271
"V560",0.0105348236426391
"V561",-0.00113518765954168
"V562",-0.00452383251953985
"V563",0.000242081273717736
"V564",0.0075187068351636
"V565",0.0042953673952553
"V566",-0.0298653744536146
"V567",0.010069035693028
"V568",0.000295348325301753
"V569",-0.0016125385056442
"V570",0.00567246822900435
"V571",0.00197098718973987
"V572",0.00602611759648607
"V573",0.00871347338635431
"V574",0.00861686031722045
"V575",3.0197511066183e-05
"V576",-0.0133381303853701
"V577",0.00655106121045527
"V578",0.00393811156803687
"V579",0.00232678215661438
"V580",0.00221338672011196
"V581",0.00284088006257507
"V582",-0.00602254903257147
"V583",-0.00172353617807204
"V584",0.00442973934685975
"V585",-0.000262189064241083
"V586",-0.00944283718383165
"V587",0.00187387544078739
"V588",-0.00313793884437732
"V589",0.00422846540013206
"V590",0.00573046363446628
"V591",-0.00192133386945912
"V592",0.0044825142075603
"V593",0.00681012070845409
"V594",0.00420107685965034
"V595",-0.000694925758307127
"V596",-0.0144396801191809
"V597",-0.00629714015165412
"V598",-0.000365342858252707
"V599",-0.000302600319642858
"V600",0.0091544089680879
"V601",-0.00118236228134844
"V602",0.00978925563181159
"V603",-0.00211287147194773
"V604",-0.00529696763970484
"V605",0.0199549634442038
"V606",-0.00276196163836668
"V607",0.00155905555870048
"V608",-0.000624603069475624
"V609",-0.0015680178311586
"V610",-0.00764994414108468
"V611",-0.00538031080135526
"V612",-0.00681702822906202
"V613",-0.00300678905360709
"V614",0.00856877261996105
"V615",-0.00119977967455064
"V616",-0.00736846145167785
"V617",-0.0133035426853374
"V618",-0.000776505740525582
"V619",0.00814633618421489
"V620",-0.00416987356390747
"V621",-0.00879651510568582
"V622",-0.00258088396866909
"V623",-0.0129105341992559
"V624",-0.000819840704813284
"V625",-0.000239252361548014
"V626",-0.000797390716375037
"V627",-0.00133193461954016
"V628",0.000137754418002947
"V629",0.00315034748008144
"V630",-0.000861285500049236
"V631",0.00242673920425679
"V632",0.00109443093648831
"V633",-0.000541972780959218
"V634",0.00751925695375155
"V635",1.85580708882116e-05
"V636",-0.00581432986880114
"V637",-0.000697601452422796
"V638",0.00165677142353423
"V639",-0.000103072181381008
"V640",0.000523316950757462
"V641",0.000307624785557466
"V642",0.00514738544897616
"V643",-4.51109190167596e-05
"V644",-0.000111163801901826
"V645",-0.000220640757565883
"V646",-0.00648539637833427
"V647",0.000488494226919687
"V648",0.000142735753063957
"V649",0.000278772418628863
"V650",7.29348364186933e-05
"V651",-0.0002532874480121
"V652",-0.0002024570994077
"V653",-0.00240822627021484
"V654",-7.68268629045495e-05
"V655",0.00222998084025871
"V656",0.00242449415527394
"V657",-0.0252850094649717
"V658",0.00016373056578487
"V659",1.3764150627823e-06
"V660",6.03736411244649e-05
"V661",-0.00181169861413448
"V662",0.000465132647996158
"V663",-0.0169015016871276
"V664",-0.000282876458979502
"V665",0.00701517362284427
"V666",-0.00190731198652741
"V667",-0.00235179929250406
"V668",0.0023251323149381
"V669",0.00481324132568753
"V670",-6.11898971463839e-05
"V671",-0.00115169945604112
"V672",-0.0107215565001903
"V673",0.011154434635277
"V674",-0.000898760089703899
"V675",-0.00193499188815024
"V676",0.000168781546601426
"V677",-0.00449369275553865
"V678",0.000806295524301923
"V679",-0.00926745462676482
"V680",-0.000598075072270039
"V681",-0.000404932336517923
"V682",0.00388173788224197
"V683",0.00232992539352827
"V684",0.0102653731187085
"V685",0.00687031296901354
"V686",-0.0144747989135361
"V687",-0.00363788568810644
"V688",0.000286077004775473
"V689",0.0022326273994372
"V690",0.00295179098866872
"V691",-0.0148200150416431
"V692",-0.0118148484685127
"V693",-0.0175060089387119
"V694",-0.00766015110549295
"V695",-0.011027110579193
"V696",-0.00130149869546188
"V697",-0.00103974646156086
"V698",-0.00257499946993164
"V699",-0.00176917630447174
"V700",0.00494209570943038
"V701",-0.00216156569931055
"V702",0.00858717201112656
"V703",0.000110376792991572
"V704",0.0161024517068367
"V705",-0.00140908654208174
"V706",0.00226100640567602
"V707",-0.000935268806264188
"V708",0.00245541014241982
"V709",0.0228707456847763
"V710",-0.00106662544588144
"V711",0.0198181505142848
"V712",7.20607319073449e-05
"V713",0.000765785392785388
"V714",-1.18237803377075e-05
"V715",0.00183600924802166
"V716",-0.0250234754436133
"V717",-0.0134422330479756
"V718",-0.0118859870946527
"V719",-0.00120283614273776
"V720",0.00908595429471623
"V721",-0.000830903506296953
"V722",0.000120822262305528
"V723",0.00735511787423265
"V724",-0.000777408133450396
"V725",-0.00716320399580845
"V726",0.00414524819756188
"V727",0.00594164553916082
"V728",-0.0018286190720304
"V729",-0.00405318338954717
"V730",-0.0112610749497956
"V731",0.00956366595913386
"V732",0.00476553657606412
"V733",-0.00157097481199579
"V734",0.0018020803657297
"V735",-0.000904597260794525
"V736",-0.00174919708294313
"V737",0.000228404008480099
"V738",0.00187308450608572
"V739",0.00449789223703611
"V740",2.92940058612032e-05
"V741",-0.00147409685155497
"V742",0.00197995620859066
"V743",0.00993667844295907
"V744",-0.000259792678921918
"V745",0.00340670416487142
"V746",9.78132656069707e-05
"V747",0.000301781352508297
"V748",-0.0176969185483353
"V749",0.000684937202246954
"V750",0.000835685301740317
"V751",-0.00404336367271524
"V752",-0.00832340402889719
"V753",-0.0054726081795843
"V754",0.00752962793663675
"V755",-0.0026276163418086
"V756",0.00169810950262805
"V757",0.00459928089285394
"V758",0.00818655156193639
"V759",0.0059278870002373
"V760",0.000280820544376332
"V761",0.00175736825086189
"V762",-0.000167739199294861
"V763",0.000447176414260015
"V764",-2.27979009676251e-05
"V765",0.00111105744048779
"V766",-0.00376748847806145
"V767",0.0021993122407564
"V768",0.000121599300499737
"V769",-0.0121515189515543
"V770",-0.0151108927632396
"V771",0.00143268282927981
"V772",0.00232506150025121
"V773",-0.0110615610828761
"V774",0.00146409602990618
"V775",-0.00419195629367473
"V776",0.00951265725221809
"V777",-0.000558237654405874
"V778",-0.00111909859352365
"V779",0.00722854464352508
"V780",-0.00255307241572474
"V781",0.00106155046579322
"V782",-0.0140598193832865
"V783",0.000784939281688155
"V784",0.00218394166956169
"V785",0.0053019476174054
"V786",-0.00287737265993483
"V787",9.76536257325334e-05
"V788",0.0230751528598396
"V789",-0.0133898399667798
"V790",-0.00276863043115128
"V791",0.00330107276336679
"V792",0.00199282148504509
"V793",0.000383797744722037
"V794",-6.704546082546e-05
"V795",-0.000922931947052583
"V796",0.00324667164572414
"V797",-0.0190118589275437
"V798",-0.000903142565339817
"V799",-0.00168396337770566
"V800",0.000672876666725657
"V801",-0.00145331166005319
"V802",0.00175552032399037
"V803",0.00244867437221974
"V804",0.00361366565258665
"V805",0.00130341123480322
"V806",0.00133327684795834
"V807",0.00523864046538396
"V808",0.00537501534557262
"V809",-0.00104342525378555
"V810",0.00449820906330334
"V811",-7.38449131838115e-06
"V812",0.000820399284341719
"V813",0.00970197302587385
"V814",-0.0160796463739846
"V815",-0.0148257369176234
"V816",0.00790672638255889
"V817",-0.00741300084774933
"V818",0.000757213253379713
"V819",0.00990569433661583
"V820",-0.000446705838627801
"V821",-0.000135809371173531
"V822",0.000719863025721261
"V823",-0.0141497936004219
"V824",-0.010440872455074
"V825",-0.00140051749827977
"V826",-0.00662496803014362
"V827",-0.00254834992834689
"V828",-0.00605888590907201
"V829",0.00282054498967858
"V830",0.0120286390985871
"V831",0.0020144741639051
"V832",0.000592787424201662
"V833",0.00158883441971927
"V834",-0.00344484043206246
"V835",-0.00592417738196241
"V836",-0.0014662437404955
"V837",-0.00207333911614283
"V838",0.00411410378596426
"V839",-0.00674395249940326
"V840",-0.00142691529344597
"V841",-0.00181365016682044
"V842",0.00231919040095933
"V843",0.00933675684991158
"V844",-0.000536452875240475
"V845",0.000190293680991435
"V846",-0.0051278726771609
"V847",0.00176369521982018
"V848",0.000715386092575156
"V849",0.00135815642546134
"V850",0.000674299755701648
"V851",0.000683103318480097
"V852",0.000264538145644142
"V853",0.00118765987525884
"V854",0.0147241834417491
"V855",-0.00161755691833491
"V856",-0.0124907560789295
"V857",0.000225978897778874
"V858",-0.00184754581004167
"V859",0.00462496082456105
"V860",-0.00022824987061283
"V861",0.00558667337886079
"V862",0.0259445750978876
"V863",0.0149808610564197
"V864",0.00319884517636282
"V865",-0.0130814497666364
"V866",-0.00396197644548629
"V867",0.00101012520658461
"V868",0.00212649032508701
"V869",-0.00137053723023811
"V870",0.0296474861073529
"V871",0.0224491335310418
"V872",-0.000863662482301613
"V873",0.0258630596998903
"V874",0.00770137025178483
"V875",0.00631002333334566
"V876",-0.00186700504585423
"V877",-0.000958809860030357
"V878",0.0035897977091495
"V879",0.00353051947236468
"V880",0.0211316639069969
"V881",0.0122220342460346
"V882",0.0129073655813927
"V883",0.0220130254536585
"V884",0.0230870865112999
"V885",0.00539673139168243
"V886",0.0182837731635749
"V887",-0.00285434993819339
"V888",-0.00174173013446903
"V889",-0.0241069336063086
"V890",0.00885417307862085
"V891",0.00467860485988026
"V892",-0.0102556133944288
"V893",0.0153194374431527
"V894",0.0139047577843845
"V895",0.0137540508858905
"V896",0.0130785713007028
"V897",0.000286831226561309
"V898",-0.0163834810499767
"V899",0.0267948894636574
"V900",0.0137471390553422
"V901",-0.00113772835122057
"V902",0.00982288643220023
"V903",0.00605007818151239
"V904",-0.000845811854965875
"V905",0.0119727737746277
"V906",-0.00681087616457381
"V907",0.0132550335440112
"V908",-0.00638833125518263
