"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"model","2","8","8","2","12","1","7","7","11","2","10","5","4","4","9","10","13","9","13","13","9","14","4","5","14","6","3","3","12","14","11","7","1","6","5","12","8","10","11","1","6","3"
"K","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"threshold","0.01","0.01","0.1","0.1","0.1","0.1","0.1","0.2","0.1","0.2","0.01","0.01","0.1","0.01","0.01","0.1","0.1","0.1","0.2","0.01","0.2","0.1","0.2","0.2","0.2","0.1","0.1","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"LL","-193896765.496628","-197352504.157765","-217536505.027512","-221558186.067845","-222640449.723428","-220580369.689731","-220781916.159372","-222013695.870064","-222561871.388695","-228898430.513764","-211670470.500552","-208853397.94844","-226448614.295246","-237032592.811962","-237088798.394861","-238528901.355497","-237219696.879542","-237254966.745577","-237927147.028719","-199074355.846771","-240017989.192086","-243373573.218284","-240980002.870492","-247904242.148688","-248561467.784294","28100741.9361136","27647948.1771675","24293420.5290749","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"BIC","-447048476.674175","-449608422.943347","-456284507.381277","-462244876.566959","-463842271.660814","-463887372.851193","-464290595.834715","-466754155.2561","-467851342.292043","-472570221.033613","-484110038.206833","-485285891.92561","-486983560.781571","-496791689.051417","-496904230.261454","-497133261.427643","-497166863.229498","-497236566.962887","-498581763.527853","-500352067.910022","-502762611.855905","-504550927.355602","-504686509.168477","-509445350.539018","-510760479.898051","-49567887399.8817","-49575568820.7384","-67956399651.0302","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"ICL","-447048476.679554","-449608424.589044","-456284511.436541","-462244877.601394","-463842272.447843","-463887374.065679","-464290597.437969","-466754157.176514","-467851345.591085","-472570223.982481","-484110039.2375","-485285891.954481","-486983562.245696","-496791689.831653","-496904230.590333","-497133263.051492","-497166864.024879","-497236570.423736","-498581765.353322","-500352068.231244","-502762613.229186","-504550930.160444","-504686511.237765","-509445356.906978","-510760481.756946","-49567887402.0361","-49575568823.5684","-67956399654.4337","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf","-Inf"
"rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"originalOrder","3","2","16","17","15","23","22","36","21","31","5","6","26","12","11","19","24","25","38","10","39","18","40","34","32","27","28","14","1","4","7","8","9","13","20","29","30","33","35","37","41","42"
"complexity","6379131","5910664","2283538","2059292","1998237","2446651","2446665","2446665","2446755","1590436","6542138","7275273","3669587","2446637","2446651","2161237","2446741","2446651","2446741","11002771","2446651","1916678","2446637","1468086","1468159","530153","530143","1018987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"comment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals"
